Dates,AAPL,AMZN
2000-10-20,0.348,1.541
2000-10-23,0.364,1.5
2000-10-24,0.337,1.478
2000-10-25,0.33,1.594
2000-10-26,0.33,1.844
2000-10-27,0.331,1.781
2000-10-30,0.345,1.644
2000-10-31,0.349,1.831
2000-11-01,0.366,1.869
2000-11-02,0.398,1.988
2000-11-03,0.397,1.878
2000-11-06,0.383,1.828
2000-11-07,0.381,1.847
2000-11-08,0.358,1.694
2000-11-09,0.36,1.563
2000-11-10,0.34,1.503
2000-11-13,0.346,1.391
2000-11-14,0.362,1.447
2000-11-15,0.355,1.475
2000-11-16,0.339,1.391
2000-11-17,0.33,1.372
2000-11-20,0.338,1.291
2000-11-21,0.336,1.213
2000-11-22,0.33,1.259
2000-11-24,0.345,1.447
2000-11-27,0.334,1.4
2000-11-28,0.322,1.252
2000-11-29,0.314,1.347
2000-11-30,0.295,1.234
2000-12-01,0.305,1.231
2000-12-04,0.298,1.328
2000-12-05,0.304,1.269
2000-12-06,0.256,1.181
2000-12-07,0.256,1.069
2000-12-08,0.269,1.172
2000-12-11,0.271,1.266
2000-12-12,0.275,1.294
2000-12-13,0.268,1.188
2000-12-14,0.258,1.134
2000-12-15,0.251,1.144
2000-12-18,0.254,0.994
2000-12-19,0.25,0.913
2000-12-20,0.257,0.834
2000-12-21,0.251,0.759
2000-12-22,0.268,0.778
2000-12-26,0.262,0.847
2000-12-27,0.265,0.844
2000-12-28,0.265,0.869
2000-12-29,0.266,0.778
2001-01-02,0.266,0.694
2001-01-03,0.292,0.878
2001-01-04,0.305,0.775
2001-01-05,0.292,0.728
2001-01-08,0.296,0.747
2001-01-09,0.307,0.819
2001-01-10,0.296,0.825
2001-01-11,0.321,0.85
2001-01-12,0.307,0.884
2001-01-16,0.306,0.903
2001-01-17,0.3,0.919
